SMILES	CANSMILES	price(100mg)	source
BrC1=C2OCCC(=O)C2=CC=C1	O=C1CCOc2c(Br)cccc21	29	有机化学清单
BrC1=CC(=C(C#N)C=C1C)F	Cc1cc(C#N)c(F)cc1Br	11.2	有机化学清单
BrC1=CC(=C(C(=O)O)C(=C1)C)C	Cc1cc(Br)cc(C)c1C(=O)O	5.2	现货目录
BrC1=CC(=C(C(=O)O)C=C1)C(F)(F)F	O=C(O)c1ccc(Br)cc1C(F)(F)F	2.5	现货目录
BrC1=CC(=C(C(=O)O)C=C1F)[N+](=O)[O-]	O=C(O)c1cc(F)c(Br)cc1[N+](=O)[O-]	10	有机化学清单
BrC1=CC(=C(C(=O)OC)C=C1)CBr	COC(=O)c1ccc(Br)cc1CBr	9.6	有机化学清单
BrC1=CC(=C(C=C1)C(F)(F)F)N	Nc1cc(Br)ccc1C(F)(F)F	2.7	现货目录
BrC1=CC(=C(C=C1)C)C#N	Cc1ccc(Br)cc1C#N	0.7	有机化学清单
BrC1=CC(=C(C=C1)CC#N)OC	COc1cc(Br)ccc1CC#N	11.2	有机化学清单
BrC1=CC(=C(C=C1)CC(=O)O)F	O=C(O)Cc1ccc(Br)cc1F	1.8	现货目录
BrC1=CC(=C(C=C1)F)N	Nc1cc(Br)ccc1F	0.32	有机化学清单
BrC1=CC(=C(C=C1)OC)C	COc1ccc(Br)cc1C	0.72	有机化学清单
BrC1=CC(=C(C=C1)[N+](=O)[O-])F	O=[N+]([O-])c1ccc(Br)cc1F	0.6	有机化学清单
BrC1=CC(=C(C=C1C)F)C=O	Cc1cc(F)c(C=O)cc1Br	25.6	有机化学清单
BrC1=CC(=C(C=C1F)F)C(C)=O	CC(=O)c1cc(Br)c(F)cc1F	4.1	有机化学清单
BrC1=CC(=C(N)C=C1Cl)C	Cc1cc(Br)c(Cl)cc1N	1.6	现货目录
BrC1=CC(=C(N=C1)Cl)C(=O)O	O=C(O)c1cc(Br)cnc1Cl	2.7	有机化学清单
BrC1=CC(=C(N=C1)OC)C(=O)O	COc1ncc(Br)cc1C(=O)O	3.6	有机化学清单
BrC1=CC(=CC(=C1)C#N)C	Cc1cc(Br)cc(C#N)c1	13.6	有机化学清单
BrC1=CC(=CC(=C1)C(=O)O)C	Cc1cc(Br)cc(C(=O)O)c1	2.4	现货目录
BrC1=CC(=CC(=C1)C(C)(C)C)C(C)(C)C	CC(C)(C)c1cc(Br)cc(C(C)(C)C)c1	2	有机化学清单
BrC1=CC(=CC(=C1)C=O)[N+](=O)[O-]	O=Cc1cc(Br)cc([N+](=O)[O-])c1	10	有机化学清单
BrC1=CC(=CC(=C1)CC(=O)O)C(F)(F)F	O=C(O)Cc1cc(Br)cc(C(F)(F)F)c1	5.1	现货目录
BrC1=CC(=CC(=C1)I)F	Fc1cc(Br)cc(I)c1	5.5	有机化学清单
BrC1=CC(=CC(=C1)N)Cl	Nc1cc(Cl)cc(Br)c1	2.1	现货目录
BrC1=CC(=CC(=C1)O)C	Cc1cc(O)cc(Br)c1	8.8	有机化学清单
BrC1=CC(=CC(=C1)[N+](=O)[O-])Cl	O=[N+]([O-])c1cc(Cl)cc(Br)c1	2.4	有机化学清单
BrC1=CC(=CC(=C1)[N+](=O)[O-])F	O=[N+]([O-])c1cc(F)cc(Br)c1	2.8	有机化学清单
BrC1=CC(=CC(Br)=C1)C1=CC=CC=C1	Brc1cc(Br)cc(-c2ccccc2)c1	11.6	有机化学清单
BrC1=CC(=CN=C1)C(F)(F)F	FC(F)(F)c1cncc(Br)c1	8.4	有机化学清单
BrC1=CC(=CN=C1)[N+](=O)[O-]	O=[N+]([O-])c1cncc(Br)c1	10.8	有机化学清单
BrC1=CC(=CN=C1Cl)Cl	Clc1cnc(Cl)c(Br)c1	2.4	有机化学清单
BrC1=CC(=CN=C1Cl)F	Fc1cnc(Cl)c(Br)c1	10	有机化学清单
BrC1=CC(=CN=C1F)Br	Fc1ncc(Br)cc1Br	2.8	有机化学清单
BrC1=CC(=CN=C1O)[N+](=O)[O-]	O=[N+]([O-])c1cnc(O)c(Br)c1	11.6	有机化学清单
BrC1=CC(=CS1)C(=O)O	O=C(O)c1csc(Br)c1	8.8	有机化学清单
BrC1=CC(=CS1)NC(=O)OC(C)(C)C	CC(C)(C)OC(=O)Nc1csc(Br)c1	23.3	现货目录
BrC1=CC(=NC=C1)CN	NCc1cc(Br)ccn1	25.5	现货目录
BrC1=CC(=NC=C1)CO	OCc1cc(Br)ccn1	4.1	现货目录
BrC1=CC(=NC=C1)N(C)C	CN(C)c1cc(Br)ccn1	17.4	现货目录
BrC1=CC(B(O)O)=C(Cl)C=C1	OB(O)c1cc(Br)ccc1Cl	27.5	现货目录
BrC1=CC(B(O)O)=C(O)C=C1	OB(O)c1cc(Br)ccc1O	15	现货目录
BrC1=CC(B(O)O)=CC=C1F	OB(O)c1ccc(F)c(Br)c1	20.4	现货目录
BrC1=CC(Br)=CC(B(O)O)=C1	OB(O)c1cc(Br)cc(Br)c1	1.6	现货目录
BrC1=CC(Br)=CC(CC(O)=O)=C1	O=C(O)Cc1cc(Br)cc(Br)c1	2.6	现货目录
BrC1=CC(Br)=CC(N)=C1	Nc1cc(Br)cc(Br)c1	1.6	现货目录
BrC1=CC(Br)=CN2C1=NC=C2	Brc1cc(Br)c2nccn2c1	11.6	有机化学清单
BrC1=CC(Br)=NC(Br)=N1	Brc1cc(Br)nc(Br)n1	20.3	有机化学清单
BrC1=CC(C(C)C)=CC(N)=C1	CC(C)c1cc(N)cc(Br)c1	88.6	现货目录
BrC1=CC(C(F)(F)F)=C(B(O)O)C=C1	OB(O)c1ccc(Br)cc1C(F)(F)F	24.6	现货目录
BrC1=CC(C(N)C)=CC=C1	CC(N)c1cccc(Br)c1	18.3	现货目录
BrC1=CC(C(N)C)=CC=C1.Cl	CC(N)c1cccc(Br)c1.Cl	6.2	现货目录
BrC1=CC(C(O)=O)=C(Br)C=C1	O=C(O)c1cc(Br)ccc1Br	1.6	现货目录
BrC1=CC(C(O)=O)=C(I)C=C1	O=C(O)c1cc(Br)ccc1I	1.6	现货目录
BrC1=CC(C(O)=O)=CO1	O=C(O)c1coc(Br)c1	12.6	现货目录
BrC1=CC(C(OC)=O)=CC(CO)=C1	COC(=O)c1cc(Br)cc(CO)c1	18.7	现货目录
BrC1=CC(C2(C3=C(C4=C2C=CC=C4)C=CC=C3)C5=C6C=CC=C5)=C6C=C1	Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1ccccc1-2	2.1	有机化学清单
BrC1=CC(C2(C3=CC=CC=C3)C4=C(C5=C2C=CC=C5)C=CC=C4)=CC=C1	Brc1cccc(C2(c3ccccc3)c3ccccc3-c3ccccc32)c1	2.6	有机化学清单
