smiles,ac,amw,mol,is_463
Cc1ccc(C(N)=O)cc1,10,135.16600036621094,Cc1ccc(C(N)=O)cc1,0
Cn1nnnc1S,7,116.14900207519531,Cn1nnnc1S,0
CSCCCl,5,110.60900115966797,CSCCCl,0
CCCC1CCOC(C)S1,10,160.28199768066406,CCCC1CCOC(C)S1,0
CC(=O)OCOC(C)=O,9,132.11500549316406,CC(=O)OCOC(C)=O,0
N#CC1=CCCCC1,8,107.15599822998047,N#CC1=CCCCC1,0
CCCS(=O)(=O)O,7,124.16100311279297,CCCS(=O)(=O)O,0
c1cnsc1,5,85.13099670410156,c1cnsc1,0
CC(=O)N1CCCC1=O,9,127.14299774169922,CC(=O)N1CCCC1=O,0
CN1CCOC1=O,7,101.1050033569336,CN1CCOC1=O,0
c1ccc(C2SCCCS2)cc1,12,196.33999633789062,c1ccc(C2SCCCS2)cc1,0
N#Cc1cocn1,7,94.072998046875,N#Cc1cocn1,0
Cc1cc2ccccc2s1,10,148.22999572753906,Cc1cc2ccccc2s1,0
O=[N+]([O-])n1cccn1,8,113.07599639892578,O=[N+]([O-])n1cccn1,0
O=c1ssc2ccccc12,10,168.24200439453125,O=c1ssc2ccccc12,0
CCC1=NCCN1,7,98.14900207519531,CCC1=NCCN1,0
O=c1ssc(Cl)c1Cl,8,187.07200622558594,O=c1ssc(Cl)c1Cl,0
O=S1(=O)OCCCO1,8,138.1439971923828,O=S1(=O)OCCCO1,0
O=C1Cc2ccccc2C1,10,132.16200256347656,O=C1Cc2ccccc2C1,0
Cc1ccccc1N=C=O,10,133.14999389648438,Cc1ccccc1N=C=O,0
O=C1CCCc2cccnc21,11,147.177001953125,O=C1CCCc2cccnc21,0
Fc1ccc(N=C=S)cc1,10,153.18099975585938,Fc1ccc(N=C=S)cc1,0
C=Cn1c2ccccc2c2ccccc21,15,193.24899291992188,C=Cn1c2ccccc2c2ccccc21,0
S=C=Nc1cccnc1,9,136.1790008544922,S=C=Nc1cccnc1,0
c1ccc2c(c1)oc1ccccc12,13,168.19500732421875,c1ccc2c(c1)oc1ccccc12,0
O=S1(=O)CCCO1,7,122.1449966430664,O=S1(=O)CCCO1,0
c1ccc2c(c1)Cc1ccccc1C2,14,180.25,c1ccc2c(c1)Cc1ccccc1C2,0
c1ccc2c(c1)Cc1ccccc1-2,13,166.22300720214844,c1ccc2c(c1)Cc1ccccc1-2,0
C1CSCSC1,6,120.24199676513672,C1CSCSC1,0
C[SiH2]c1ccccc1,8,122.24299621582031,C[SiH2]c1ccccc1,0
CCCCP(=CC#N)(CCCC)CCCC,16,241.35899353027344,CCCCP(=CC#N)(CCCC)CCCC,0
c1ccc(C2CC2)cc1,9,118.17900085449219,c1ccc(C2CC2)cc1,0
CN1C(=O)CCCC1=O,9,127.14299774169922,CN1C(=O)CCCC1=O,0
